BookID,Title,Author,TotalCopies,AvailableCopies
B001,The White Tiger,Aravind Adiga,5,5
B002,Wings of Fire,A.P.J. Abdul Kalam,4,4
B003,The Guide,R.K. Narayan,6,6
B004,Train to Pakistan,Khushwant Singh,3,3
B005,Interpreter of Maladies,Jhumpa Lahiri,5,5
B006,Midnight's Children,Salman Rushdie,4,4
B007,God of Small Things,Arundhati Roy,6,6
B008,The Alchemist,Paulo Coelho,8,8
B009,Harry Potter and the Philosopher's Stone,J.K. Rowling,10,10
B010,Sapiens: A Brief History of Humankind,Yuval Noah Harari,7,7
B011,The Catcher in the Rye,J.D. Salinger,5,5
B012,To Kill a Mockingbird,Harper Lee,4,4
B013,1984,George Orwell,6,6
B014,The Great Gatsby,F. Scott Fitzgerald,3,3
B015,One Hundred Years of Solitude,Gabriel Garcia Marquez,5,5
